post_id,filename,description,likes,comments,views
"1280796653284929035","2016-06-26_1280796653284929035.jpg","4mm surface anchor done 3 weeks ago, 2mm surface anchor done today. At #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #girlswithpiercings #impactalbany","11","0","0"
"1285054805220123857","2016-07-02_1285054805220123857.jpg","Triple middle ear done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","11","1","0"
"1285680515383194876","2016-07-02_1285680515383194876.jpg","Surface anchor done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings #nofilter","15","0","0"
"1290910491061603158","2016-07-10_1290910491061603158.jpg","Clavical surface anchor done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #impactalbany #tragicempire #girlswithpiercings","6","1","0"
"1292228239708548448","2016-07-11_1292228239708548448.jpg","Daith done at #albanymodernbodyart  by #piercing_by_gina #professionalpiercings #publishedpiercer #impactalbany #tragicempire #girlswithpiercings","12","0","0"
"1295781427514564672","2016-07-16_1295781427514564672.jpg","Surface anchors done at #albanymodernbodyart  by #piercing_by_gina #professionalpiercings #publishedpiercer #impactalbany #tragicempire #girlswithpiercings","6","0","0"
"1298094730252618262","2016-07-19_1298094730252618262.jpg","Daith done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","13","0","0"
"1300987403578017956","2016-07-23_1300987403578017956.jpg","Upper naval done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","11","3","0"
"1316096351587485939","2016-08-13_1316096351587485939.jpg","Healed daith piercing got to change the jewlery to something more spectacular.#professionalpiercings #publishedpiercer #tragicempire #impactalbany #titanium #girlswithpiercings","13","1","0"
"1319191094852234935","2016-08-18_1319191094852234935.jpg","Triple inner helix done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","16","0","0"
"1346563131371201368","2016-09-24_1346563131371201368.jpg","Anti-tragus and rook done at #albanymodernbodyart  by #piercing_by_gina #professionalpiercings #publishedpiercer #nofilter #tragicempire #girlswithpiercings","16","0","0"
"1351015640199010683","2016-10-01_1351015640199010683.jpg","I think these  girls are possibly the happiest clients ever, what a group.","12","0","0"
"1351016501339782027","2016-10-01_1351016501339782027.jpg","Tongue web done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","19","1","0"
"1351017389718739029","2016-10-01_1351017389718739029.jpg","Filled in the gap on this young ladies outer helix done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","30","0","0"
"1351017986333161578","2016-10-01_1351017986333161578.jpg","Middle helix done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","17","0","0"
"1351018568167049182","2016-10-01_1351018568167049182.jpg","Second hole done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","13","0","0"
"1351019316422569854","2016-10-01_1351019316422569854.jpg","Upper helix done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #tragicempire #impactalbany #girlswithpiercings","14","0","0"
"1351019974097834568","2016-10-01_1351019974097834568.jpg","Nostril piercing done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #tragicempire #impactalbany #girl","15","4","0"
"1359578868415735047","2016-10-12_1359578868415735047.jpg","Scaffold piercing done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","14","3","0"
"1371930020952329187","2016-10-29_1371930020952329187.jpg","Surface anchor done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #girlswithpiercings #tragicempire #impactalbany","14","4","0"
"1375719542353608171","2016-11-04_1375719542353608171.jpg","Great group of piercees. Happy Birthday @christinamoreschi","15","0","0"
"1376367158468844767","2016-11-04_1376367158468844767.jpg","Daith piercing done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #impactalbany #tragicempire #girlswithpiercings","15","0","0"
"1382238153905300282","2016-11-13_1382238153905300282.jpg","Daith piercing done at #albanymodernbodyart by #piercing_by_gina #tragicapparel #tragicempire #girlswithpiercings #professionalpiercings #publishedpiercer","16","2","0"
"1396762100609472533","2016-12-03_1396762100609472533.jpg","Conch piercing done by #piercings_by_Gina at #albanymodernbodyart #girlswithpiercings #tragicempire #impactalbany #professionalpiercer #publishedpiercers","19","0","0"
"1406069425526722869","2016-12-15_1406069425526722869.jpg","Daith Done at #albanymodernbodyart by #piercings_by_Gina #publishedpiercers #professionalpiercer #nofilter #girlswithpiercings #tragicempire #impactalbany #tattooedgirls","18","3","0"
"1411835186765432963","2016-12-23_1411835186765432963.jpg","Upper helix piercing done at #albanymodernbodyart by #piercings_by_Gina #professionalpiercer #publishedpiercers #girlswithpiercings #tragicempire #impactalbany","13","1","0"
"1426257931666278316","2017-01-12_1426257931666278316.jpg","Navel done by #piercings_by_Gina  at #albanymodernbodyart #professionalpiercer #publishedpiercers #tragicempire #impactalbany #girlswithpiercings #piercings","14","2","0"
